backlink,status_code,is_doFollow,is_exist,target_url,position,anchor_text,anchor_type,externalLinks,hasManyBacklinks,ip,countryCode,country,from_spam_heavy_country,rank,pagerank,backlink_rank,page_rank,domain_rank,AlexaTrafficRank,AlexaReach,AlexaRank,AlexaRankCountry,AlexaRankCountryCode,page_number,source_file,target_domain,source_domain,anchor_length,is_spam_country,is_active,has_good_anchor,Metric,Value
https://reformapolitica.org.br/2016/07/21/a-america-latina-e-a-nova-ofensiva-imperial-entrevista-com-fc-leite-filho/,200.0,True,True,https://cafenapolitica.com,body,Vernon Walters,anchor,,False,,,,False,,,,,,,,,,,3.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,reformapolitica.org.br,14,False,True,True,,
http://www.kittyskrafts.com/index.php,200.0,True,True,https://cafenapolitica.com,body,国产无套粉嫩白浆内精在线观看,anchor,,False,,,,False,,,,,,,,,,,3.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,www.kittyskrafts.com,14,False,True,True,,
http://www.1357613.com/,200.0,True,True,https://cafenapolitica.com,body,国产无套粉嫩白浆内精在线观看,anchor,,False,,,,False,,,,,,,,,,,3.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,www.1357613.com,14,False,True,True,,
http://www.futepoca.com.br/search/label/o%20estado%20de%20s.paulo,200.0,True,True,https://cafenapolitica.com,body,Heródoto Barbeiro e Gabriel Priolli,anchor,,False,,,,False,,,,,,,,,,,3.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,www.futepoca.com.br,35,False,True,True,,
https://www.viomundo.com.br/politica/em-12-anos-do-pt-no-planalto-pf-fez-2-226-operacoes-com-fhc-foram-48.html,200.0,True,True,https://cafenapolitica.com,body,http://www.cafenapolitica.com/como-a-cia-pagava-a-pf-no-governo-fhc,anchor,,False,,,,False,,,,,,,,,,,3.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,www.viomundo.com.br,67,False,True,True,,
https://heliosilvars.blogspot.com/2014/01/fidel-castro-esta-vivo.html,200.0,True,True,https://cafenapolitica.com,body,www.cafenapolitica.com,anchor,,False,,,,False,,,,,,,,,,,3.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,heliosilvars.blogspot.com,22,False,True,True,,
https://grupobeatrice.blogspot.com/2015/04/celso-amorim-exorta-intelectuais-ir-as.html,200.0,True,True,https://cafenapolitica.com,body,http://www.cafenapolitica.com/celso-amorim-exorta-intelectuais-a-ir-as-ruas/,anchor,,False,,,,False,,,,,,,,,,,3.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,grupobeatrice.blogspot.com,76,False,True,True,,
https://belonnanotservice.ga/page-624e32eabd32ff8cd316a241b8942d92.html,200.0,True,True,https://cafenapolitica.com,body,cafenapolitica.com,anchor,,False,,,,False,,,,,,,,,,,3.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,belonnanotservice.ga,18,False,True,True,,
https://ordidja.blogspot.com/2015/06/cidade-libre-de-brasilia.html,200.0,True,True,https://cafenapolitica.com,body,Clique aqui para a entrevista,anchor,,False,,,,False,,,,,,,,,,,3.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,ordidja.blogspot.com,29,False,True,True,,
https://ordidja.blogspot.com/2014/03/eua-derrotados-na-oea-pela-venezuela.html,200.0,True,True,https://cafenapolitica.com,body,Clique aqui para ver os vídeos,anchor,,False,,,,False,,,,,,,,,,,3.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,ordidja.blogspot.com,30,False,True,True,,
